transaction_reference,amount,status,date,description
TXN001,150.00,completed,2024-01-15,Payment for Order #1001
TXN002,75.50,completed,2024-01-15,Subscription Fee
TXN003,200.00,pending,2024-01-16,Payment for Order #1002
TXN004,89.99,completed,2024-01-16,Product Purchase
TXN005,125.00,failed,2024-01-17,Payment for Order #1003
TXN006,45.00,completed,2024-01-17,Service Fee
TXN007,300.00,completed,2024-01-18,Payment for Order #1004
TXN008,67.25,pending,2024-01-18,Monthly Subscription
TXN009,180.00,completed,2024-01-19,Payment for Order #1005
TXN010,95.00,completed,2024-01-19,Product Purchase
TXN011,220.00,completed,2024-01-20,Payment for Order #1006
TXN012,55.75,failed,2024-01-20,Service Charge
